sample	PC1	PC2	PC3	PC4	PC5
c_ll_la_0044	3.825134490818342	-1.0641246040860328	0.4061793689149353	-0.6915907179425125	-2.869543381331357
c_ll_la_0045	3.0395148015882465	-1.4147488384186513	0.10188600808336618	0.4390220812581498	-1.8201972757942477
c_ll_la_0047	2.97201873115076	-1.3781344148740504	0.04273154075883196	0.46102328730973313	-1.7014580938178525
c_ll_la_0048	3.6121944535001194	-1.145410799868178	0.5677597673737237	-0.9628886187117381	-3.033826774419588
c_ll_la_0052	3.6786059247137746	-1.0824511337843303	0.6073225868518622	-1.0895160041692742	-3.1203687791934005
c_ll_la_0053	3.686160506418654	-1.1495640767003303	0.4531049095613909	-0.7184238391959212	-2.9422953834147485
c_ll_la_0054	3.2256594703810575	-1.326862191922444	0.10065617422704562	-0.607075764408877	-2.255251240706927
c_ll_ki_0090	1.4643889975862294	-1.7134222535248056	-1.7156681478556346	0.1863649425796918	0.23003598659162608
c_ll_ki_0091	1.4643889975862299	-1.713422253524804	-1.7156681478556346	0.18636494257969236	0.23003598659162638
c_ll_ki_0092	1.4643889975862296	-1.7134222535248043	-1.715668147855635	0.18636494257969255	0.23003598659162655
c_ll_ki_0093	1.4643889975862303	-1.7134222535248051	-1.715668147855635	0.18636494257969163	0.23003598659162694
c_ll_ki_0094	1.4643889975862285	-1.713422253524805	-1.7156681478556333	0.18636494257969222	0.23003598659162663
c_ll_ki_0095	1.276756229218074	-1.636986830826499	-1.5510895450732316	-0.3093623350330655	0.2862791059178561
c_ll_ki_0096	1.276756229218073	-1.6369868308264979	-1.551089545073231	-0.30936233503306415	0.28627910591785516
c_ll_ki_0097	1.276756229218073	-1.6369868308264974	-1.5510895450732305	-0.30936233503306426	0.2862791059178555
c_ll_ki_0098	1.2767562292180732	-1.6369868308264977	-1.551089545073231	-0.30936233503306426	0.28627910591785544
c_ll_ki_0099	1.276756229218073	-1.6369868308264979	-1.5510895450732305	-0.3093623350330641	0.286279105917855
c_ll_ki_0100	0.9945964951985279	-1.4348331764208104	-1.1719111614736868	-0.47319209450519234	0.10215663994277879
c_ll_ki_0101	0.9945964951985279	-1.4348331764208104	-1.171911161473687	-0.4731920945051924	0.10215663994277921
c_ll_ki_0102	0.9945964951985278	-1.4348331764208104	-1.1719111614736872	-0.47319209450519245	0.1021566399427794
c_ll_vl_0107	1.34358998094137	2.967904511144195	-0.6089673550082383	1.652224857917489	-0.6674710839835958
c_ll_vl_0108	0.8683239826842749	2.6998249154237977	-0.997200179618448	1.8928613174318447	-0.17260011372356782
c_ll_vl_0109	1.3912146927001965	3.6768352992230118	-1.5421959613304912	1.0284040958284903	-0.44047304303196405
c_ll_vl_0110	-1.3281340848093495	1.3989940649171018	-0.2721373958420393	4.7587545935472235	1.1159231558179425
c_ll_vl_0112	1.5001552681144268	3.770491447029118	-1.7060064270572688	0.9107989652661717	-0.4821043654514874
c_ll_vl_0113	1.5001552681144268	3.770491447029118	-1.7060064270572688	0.9107989652661717	-0.4821043654514874
c_ll_vl_0114	1.1516489787073136	4.672954680551613	-2.4178399075824917	0.30996049050816726	-0.733282803591765
c_ll_vl_0128	1.6737554261889918	3.8318263892205664	-1.680514499822807	0.7983042429026568	-0.6880102181708424
c_ll_vl_0132	1.6737554261889918	3.8318263892205664	-1.680514499822807	0.7983042429026568	-0.6880102181708424
c_ll_ya_0138	-4.802836135902019	-2.163072018963776	-0.7705926950411641	0.8035701192561857	1.0202401491724724
c_ll_ya_0139	-5.0149700917884665	-2.3157383856050022	-0.5324959695838483	0.21822028899098284	0.5609682472746103
c_ll_ya_0140	-4.998942969665926	-2.298743890927543	-0.5375309336732057	0.2121224315587754	0.5546204353896871
c_ll_ya_0141	-6.92160524160579	0.16598555016538502	-0.5916973044099636	-3.102698700935601	-1.0437398181172042
c_ll_ya_0142	-6.92160524160579	0.16598555016538502	-0.5916973044099636	-3.102698700935601	-1.0437398181172042
c_ll_ya_0143	-6.92160524160579	0.16598555016538502	-0.5916973044099636	-3.102698700935601	-1.0437398181172042
c_ll_ya_0145	-5.3246953483198975	-2.6564781788070686	-0.4552984035441917	0.3223938357820888	0.6362244867370646
c_ll_ya_0146	-5.06419499772529	-2.3218677469215967	-0.6833752389343704	0.4884306222038313	0.8487847746876341
c_ll_ya_0147	-4.385771626730619	-1.5911424560146943	-0.7180938006365557	-0.18817717367107437	0.21014457216152974
c_ll_tu_0153	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_tu_0157	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_tu_0158	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_tu_0159	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_tu_0165	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_tu_0166	-4.142109756725729	1.6264237052125905	0.4439665765852901	-1.0364503737132726	0.27172606628385515
c_ll_ka_0184	-3.469645997246364	1.8532731806761042	1.8496205826117782	0.8632860931447904	-0.6557907342569491
c_ll_ka_0186	-3.4682079811878177	1.5674061953462395	1.8819859337709035	0.9025012285692304	-0.6464359319207678
c_ll_ka_0188	-3.006160767770242	1.6194966872146166	2.4053208548168543	1.215622147446889	-0.42796899930403765
c_ll_ka_0189	-2.873256532751862	2.58962270422044	1.7028506098015508	0.826599700018125	-0.3416193372837311
c_ll_to_0190	-3.442854901440636	0.22798599990617036	2.8998312609255206	1.5061144481776292	-0.5765837023898157
c_ll_to_0191	-3.491584102131194	0.6323922779724903	2.6413037603233738	1.3995600000215087	-0.6006600012855848
c_ll_ur_0194	0.7012698193945958	-1.1109816474406145	-0.5852273636318465	1.1530783914546268	0.6081627276236817
c_ll_ur_0195	0.40488515103470935	-1.2502837322299993	-0.06915123672160389	1.457505281241931	0.536578497101835
c_ll_ur_0196	0.40488515103470935	-1.2502837322299993	-0.06915123672160389	1.457505281241931	0.536578497101835
c_ll_ur_0199	0.4629604277126541	-1.1524117549174202	-0.22970508666518685	1.2769385495642716	0.641550045400705
c_ll_ur_0200	0.43666696034167696	-1.1249921345182	-0.5883944669383019	0.8259040731024556	1.008310974198824
c_ll_ur_0202	-0.09597121078466563	-2.19551019045313	0.8080726880834034	2.117705844678796	0.2537329752382744
c_ll_ur_0203	0.7729920081409841	-2.2223024454075606	-0.9040575694703092	0.7126855579871708	1.7282405963531497
c_ll_ca_0240	5.426511413960752	0.8111486840575556	1.1870416530439014	-2.8363381671664416	1.2451150868722856
c_ll_ca_0241	2.856765602907596	0.31632779428648927	2.0687553660735074	0.4376893699160363	0.8872215465219231
c_ll_ca_0242	2.007913726128783	-1.7345320758407785	4.105897896605352	-0.6055859237687153	0.08520399593789516
c_ll_ca_0243	2.6773831044511316	-2.0221470100611207	2.939713780767107	0.28755353085300894	0.8334954867353005
c_ll_ca_0244	2.563062883727813	-2.0477773734775475	2.9374175987767313	0.21334220480930652	0.696528898384901
c_ll_ca_0245	2.3821022029301053	0.38368342215807044	1.554934864275027	0.1226428587383099	0.3560694894652138
c_ll_ca_0247	3.396709372890392	0.4841321955058077	2.418144354265859	-0.376559198057124	0.9171096359900366
c_ll_ca_0248	4.582466841160184	3.2198470525435425	-0.25632168760618484	-3.135855913947844	3.073200282496502
c_ll_ca_0252	3.495582677576145	2.5853477932850533	0.3153311871081974	-2.1481387012655615	2.6858658323028886
c_ll_ca_0254	6.949876823864398	0.8692763053130358	0.7609634461081771	-2.4573614914446305	1.8428521234536763
c_ll_ca_0259	2.399554420599639	0.1337521497626794	1.5852369766999648	0.5867698646593578	0.49653995550267765
c_ll_ca_0260	2.631709403741758	0.9047653167100136	1.629529575265143	0.010674241061575773	0.579611053043198
